compressed_route,count,probability,n_stages,start_state,end_state,miss_count,control_count,other_count,miss_rate
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|near_exit_front|avoid,19,0.006909090909090909,3,32-63|lower_edge_front|avoid_then_caught,8-15|near_exit_front|avoid,0,0,19,0.0
16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,19,0.006909090909090909,3,16-31|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,19,0.0
64-127|lower_edge_front|caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,19,0.006909090909090909,5,64-127|lower_edge_front|caught,4-7|lower_edge_front|avoid_then_caught,0,0,19,0.0
32-63|near_exit_front|avoid -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|near_exit_front|avoid,16,0.005818181818181818,3,32-63|near_exit_front|avoid,8-15|near_exit_front|avoid,8,0,8,1.0
16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,16,0.005818181818181818,3,16-31|near_exit_front|avoid,4-7|lower_edge_front|caught,0,0,16,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|near_exit_front|avoid,16,0.005818181818181818,3,32-63|lower_edge_front|avoid_then_caught,8-15|near_exit_front|avoid,0,0,16,0.0
128-255|lower_edge_front|avoid_then_caught -> 64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,16,0.005818181818181818,6,128-255|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,16,0.0
64-127|near_exit_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,15,0.005454545454545455,5,64-127|near_exit_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,4,0,11,1.0
64-127|lower_edge_front|caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,14,0.005090909090909091,5,64-127|lower_edge_front|caught,4-7|lower_edge_front|caught,0,0,14,0.0
16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,13,0.0047272727272727275,3,16-31|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|caught,0,0,13,0.0
16-31|lower_edge_front|avoid -> 8-15|near_exit_front|avoid,13,0.0047272727272727275,2,16-31|lower_edge_front|avoid,8-15|near_exit_front|avoid,0,0,13,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,13,0.0047272727272727275,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|caught,0,0,13,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid_then_caught,12,0.004363636363636364,3,32-63|lower_edge_front|avoid_then_caught,8-15|lower_edge_front|avoid_then_caught,0,0,12,0.0
64-127|near_exit_front|avoid -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,11,0.004,5,64-127|near_exit_front|avoid,4-7|lower_edge_front|caught,11,0,0,1.0
64-127|lower_edge_front|avoid_then_caught -> 32-63|near_exit_front|avoid -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,11,0.004,5,64-127|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,5,0,6,1.0
